OrderID,Date,Product,Category,Region,Quantity,UnitPrice,Revenue,CustomerAge,Rating
1,2024-01-01,Wireless Mouse,Electronics,North,2,29.99,59.98,34,4.5
2,2024-01-05,USB-C Hub,Electronics,South,1,49.99,49.99,,4.8
3,2024-01-12,Mechanical Keyboard,Accessories,East,3,89.99,269.97,25,
4,2024-01-15,Monitor Stand,Furniture,West,1,39.99,39.99,45,4.2
5,2024-02-01,Webcam HD,Electronics,North,2,69.99,139.98,52,4.9
6,2024-02-14,Laptop Sleeve,Accessories,,1,19.99,19.99,19,4.1
7,2024-02-28,Desk Lamp,Lighting,East,5,25.00,125.00,31,4.6
8,2024-03-05,Noise Cancelling Headphones,Electronics,West,1,199.99,199.99,,4.7
9,2024-03-10,Portable SSD,Storage,North,2,129.99,259.98,41,
10,2024-03-22,Ergonomic Chair,Furniture,South,1,249.99,249.99,38,4.3
11,2024-04-01,Standing Desk Mat,Furniture,West,1,49.99,49.99,29,4.4
12,2024-04-12,Cable Management Kit,Accessories,East,4,14.99,59.96,,3.9
13,2024-04-25,Blue Light Glasses,Accessories,North,2,24.99,49.98,22,4.0
14,2024-05-02,Wireless Charger,Electronics,,3,29.99,89.97,36,4.5
15,2024-05-18,Smart Power Strip,Electronics,South,2,34.99,69.98,48,
16,2024-05-30,Wireless Mouse,Electronics,West,1,29.99,29.99,55,4.2
17,2024-06-11,Mechanical Keyboard,Accessories,North,2,89.99,179.98,,4.8
18,2024-06-25,Monitor Stand,Furniture,East,1,39.99,39.99,61,3.8
19,2024-07-04,Webcam HD,Electronics,South,4,69.99,279.96,33,
20,2024-07-15,Laptop Sleeve,Accessories,West,1,19.99,19.99,27,4.6
21,2024-01-02,Desk Lamp,Lighting,North,2,25.00,50.00,34,4.5
22,2024-01-06,Portable SSD,Storage,South,1,129.99,129.99,,4.8
23,2024-01-13,Ergonomic Chair,Furniture,East,3,249.99,749.97,25,
24,2024-01-16,Standing Desk Mat,Furniture,West,1,49.99,49.99,45,4.2
25,2024-02-02,Cable Management Kit,Accessories,North,2,14.99,29.98,52,4.9
26,2024-02-15,Blue Light Glasses,Accessories,,1,24.99,24.99,19,4.1
27,2024-02-29,Wireless Charger,Electronics,East,5,29.99,149.95,31,4.6
28,2024-03-06,Smart Power Strip,Electronics,West,1,34.99,34.99,,4.7
29,2024-03-11,Wireless Mouse,Electronics,North,2,29.99,59.98,41,
30,2024-03-23,USB-C Hub,Electronics,South,1,49.99,49.99,38,4.3
31,2024-04-02,Mechanical Keyboard,Accessories,West,1,89.99,89.99,29,4.4
32,2024-04-13,Monitor Stand,Furniture,East,4,39.99,159.96,,3.9
33,2024-04-26,Webcam HD,Electronics,North,2,69.99,139.98,22,4.0
34,2024-05-03,Laptop Sleeve,Accessories,,3,19.99,59.97,36,4.5
35,2024-05-19,Desk Lamp,Lighting,South,2,25.00,50.00,48,
36,2024-05-31,Noise Cancelling Headphones,Electronics,West,1,199.99,199.99,55,4.2
37,2024-06-12,Portable SSD,Storage,North,2,129.99,259.98,,4.8
38,2024-06-26,Ergonomic Chair,Furniture,East,1,249.99,249.99,61,3.8
39,2024-07-05,Standing Desk Mat,Furniture,South,4,49.99,199.96,33,
40,2024-07-16,Cable Management Kit,Accessories,West,1,14.99,14.99,27,4.6
41,2024-01-03,Blue Light Glasses,Accessories,North,2,24.99,49.98,34,4.5
42,2024-01-07,Wireless Charger,Electronics,South,1,29.99,29.99,,4.8
